2026-01-09	Genesis 1	Psalm 1	Matthew 1
2026-01-10	Genesis 2	Psalm 2	Matthew 2
2026-01-11	Genesis 3	Psalm 3	Matthew 3
2026-01-12	Genesis 4	Psalm 4	Matthew 4
2026-01-13	Genesis 5	Psalm 5	Matthew 5
2026-01-14	Genesis 6	Psalm 6	Matthew 6
2026-01-15	Genesis 7	Psalm 7	Matthew 7
2026-01-16	Genesis 8	Psalm 8	Matthew 8
2026-01-17	Genesis 9	Psalm 9	Matthew 9
2026-01-18	Genesis 10	Psalm 10	Matthew 10
2026-01-19	Genesis 11	Psalm 11	Matthew 11
2026-01-20	Genesis 12	Psalm 12	Matthew 12
2026-01-21	Genesis 13	Psalm 13	Matthew 13
2026-01-22	Genesis 14	Psalm 14	Matthew 14
2026-01-23	Genesis 15	Psalm 15	Matthew 15
2026-01-24	Genesis 16	Psalm 16	Matthew 16
2026-01-25	Genesis 17	Psalm 17	Matthew 17
2026-01-26	Genesis 18	Psalm 18	Matthew 18
2026-01-27	Genesis 19	Psalm 19	Matthew 19
2026-01-28	Genesis 20	Psalm 20	Matthew 20
2026-01-29	Genesis 21	Psalm 21	Matthew 21
2026-01-30	Genesis 22	Psalm 22	Matthew 22
2026-01-31	Genesis 23	Psalm 23	Matthew 23
2026-02-01	Genesis 24	Psalm 24	Matthew 24
2026-02-02	Genesis 25	Psalm 25	Matthew 25
2026-02-03	Genesis 26	Psalm 26	Matthew 26
2026-02-04	Genesis 27	Psalm 27	Matthew 27
2026-02-05	Genesis 28	Psalm 28	Matthew 28
2026-02-06	Genesis 29	Psalm 29	Mark 1
2026-02-07	Genesis 30	Psalm 30	Mark 2
2026-02-08	Genesis 31	Psalm 31	Mark 3
2026-02-09	Genesis 32	Psalm 32	Mark 4
2026-02-10	Genesis 33	Psalm 33	Mark 5
2026-02-11	Genesis 34	Psalm 34	Mark 6
2026-02-12	Genesis 35	Psalm 35	Mark 7
2026-02-13	Genesis 36	Psalm 36	Mark 8
2026-02-14	Genesis 37	Psalm 37	Mark 9
2026-02-15	Genesis 38	Psalm 38	Mark 10
2026-02-16	Genesis 39	Psalm 39	Mark 11
2026-02-17	Genesis 40	Psalm 40	Mark 12
2026-02-18	Genesis 41	Psalm 41	Mark 13
2026-02-19	Genesis 42	Psalm 42	Mark 14
2026-02-20	Genesis 43	Psalm 43	Mark 15
2026-02-21	Genesis 44	Psalm 44	Mark 16
2026-02-22	Genesis 45	Psalm 45	Luke 1
2026-02-23	Genesis 46	Psalm 46	Luke 2
2026-02-24	Genesis 47	Psalm 47	Luke 3
2026-02-25	Genesis 48	Psalm 48	Luke 4
2026-02-26	Genesis 49	Psalm 49	Luke 5
2026-02-27	Genesis 50	Psalm 50	Luke 6
2026-02-28	Exodus 1	Psalm 51	Luke 7
2026-03-01	Exodus 2	Psalm 52	Luke 8
2026-03-02	Exodus 3	Psalm 53	Luke 9
2026-03-03	Exodus 4	Psalm 54	Luke 10
2026-03-04	Exodus 5	Psalm 55	Luke 11
2026-03-05	Exodus 6	Psalm 56	Luke 12
2026-03-06	Exodus 7	Psalm 57	Luke 13
2026-03-07	Exodus 8	Psalm 58	Luke 14
2026-03-08	Exodus 9	Psalm 59	Luke 15
2026-03-09	Exodus 10	Psalm 60	Luke 16
2026-03-10	Exodus 11	Psalm 61	Luke 17
2026-03-11	Exodus 12	Psalm 62	Luke 18
2026-03-12	Exodus 13	Psalm 63	Luke 19
2026-03-13	Exodus 14	Psalm 64	Luke 20
2026-03-14	Exodus 15	Psalm 65	Luke 21
2026-03-15	Exodus 16	Psalm 66	Luke 22
2026-03-16	Exodus 17	Psalm 67	Luke 23
2026-03-17	Exodus 18	Psalm 68	Luke 24
2026-03-18	Exodus 19	Psalm 69	John 1
2026-03-19	Exodus 20	Psalm 70	John 2
2026-03-20	Exodus 21	Psalm 71	John 3
2026-03-21	Exodus 22	Psalm 72	John 4
2026-03-22	Exodus 23	Psalm 73	John 5
2026-03-23	Exodus 24	Psalm 74	John 6
2026-03-24	Exodus 25	Psalm 75	John 7
2026-03-25	Exodus 26	Psalm 76	John 8
2026-03-26	Exodus 27	Psalm 77	John 9
2026-03-27	Exodus 28	Psalm 78	John 10
2026-03-28	Exodus 29	Psalm 79	John 11
2026-03-29	Exodus 30	Psalm 80	John 12
2026-03-30	Exodus 31	Psalm 81	John 13
2026-03-31	Exodus 32	Psalm 82	John 14
2026-04-01	Exodus 33	Psalm 83	John 15
2026-04-02	Exodus 34	Psalm 84	John 16
2026-04-03	Exodus 35	Psalm 85	John 17
2026-04-04	Exodus 36	Psalm 86	John 18
2026-04-05	Exodus 37	Psalm 87	John 19
2026-04-06	Exodus 38	Psalm 88	John 20
2026-04-07	Exodus 39	Psalm 89	John 21
2026-04-08	Exodus 40	Psalm 90	Acts 1
2026-04-09	Leviticus 1	Psalm 91	Acts 2
2026-04-10	Leviticus 2	Psalm 92	Acts 3
2026-04-11	Leviticus 3	Psalm 93	Acts 4
2026-04-12	Leviticus 4	Psalm 94	Acts 5
2026-04-13	Leviticus 5	Psalm 95	Acts 6
2026-04-14	Leviticus 6	Psalm 96	Acts 7
2026-04-15	Leviticus 7	Psalm 97	Acts 8
2026-04-16	Leviticus 8	Psalm 98	Acts 9
2026-04-17	Leviticus 9	Psalm 99	Acts 10
2026-04-18	Leviticus 10	Psalm 100	Acts 11
2026-04-19	Leviticus 11	Psalm 101	Acts 12
2026-04-20	Leviticus 12	Psalm 102	Acts 13
2026-04-21	Leviticus 13	Psalm 103	Acts 14
2026-04-22	Leviticus 14	Psalm 104	Acts 15
2026-04-23	Leviticus 15	Psalm 105	Acts 16
2026-04-24	Leviticus 16	Psalm 106	Acts 17
2026-04-25	Leviticus 17	Psalm 107	Acts 18
2026-04-26	Leviticus 18	Psalm 108	Acts 19
2026-04-27	Leviticus 19	Psalm 109	Acts 20
2026-04-28	Leviticus 20	Psalm 110	Acts 21
2026-04-29	Leviticus 21	Psalm 111	Acts 22
2026-04-30	Leviticus 22	Psalm 112	Acts 23
